Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.42.0.64-80.249.99.148-38064-80-6,10.42.0.64,38067.277,80.249.99.148,76.9534,6.00085,07/04/2025 12:13:27 PM,6032.5225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2296.2112,62449.977,6013.2017,4166.5825,6012.9395,6015.249,32.0,32.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,-3816.7031,0.0,5e-05,5e-05,5e-05,40,0.0,62500.0,0.0,0.1348,0.0,0.0,0.0,0.0,0.0,0.0,1.9999,0,0.0,5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,5e-05,5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9978,5598.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-32910-80-6,10.42.0.64,32906.723,80.249.99.148,76.9534,6.00085,07/04/2025 12:52:27 PM,15785.522,1.0,0.0,0.0,1190.7559,0.0,0.0,0.0,0.0,1347.4608,1347.8652,1347.8315,0.0,208123.64,358.76862,9242.867,0.0,12821.939,-5087.2495,9785.0,9785.0,0.0,9785.0,9785.0,841.00995,3024.9392,0.0,1007.4605,3024.2964,0.0,5e-05,0.0,5e-05,40,35.252804,204.3944813490036,179.39449,0.1348,1347.4608,539.06525,738.21606,545131.2,0.0,0.0,1.9999,1,0.0,0.0,5e-05,0.0,0.99915,674.0,0.0,1348.0,5e-05,5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.72327,0.0,19.9978,0.0,1732.2467,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80.249.99.148-10.42.0.64-80-41626-6,80.249.99.148,83.276505,10.42.0.64,41622.953,6.00085,07/04/2025 12:39:21 PM,6503.5215,1.0,0.0,2818.6904,0.0,1347.5957,1347.8652,1347.8628,0.0,0.0,0.0,0.0,0.0,1.0652282e+07,9890.338,6106.9517,0.0,6311.9395,5985.2485,172.0,57.33333333333333,95.84014468547788,168.0,2.0,0.0,0.0,0.0,0.0,-3816.7031,0.99995,5e-05,0.0,5e-05,128,0.0,7952.286282306163,1963.0715,0.1348,1347.4608,1123.1985,550.2048,302850.6666666666,0.0,0.0,0.9999,2,1.6483002,0.0,5e-05,0.0,0.0,1348.0,1348.0,0.0,5e-05,5e-05,0.0,2968.981,0.0,3.1338468e+07,0.0,0.0,0.0,0.0,505.72327,0.0,0.0,31.9978,0.0,1732.2467,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-10.42.0.99-33885-5201-6,10.42.0.64,33888.277,10.42.0.99,5197.9536,6.00085,07/04/2025 11:30:34 AM,50089.516,3.7970505,3.8085003,0.0,0.0,286.59558,0.0,41.72001,108.01439,326.4608,0.0,47.40293,123.11747,-2296.2112,267.5192,9372.662,6961.685,46380.938,5996.2505,43958.0,7326.333333333333,16759.170166409393,41516.0,13.0,37943.008,3507.7722,15014.171,35683.46,-3802.7024,0.99995,5e-05,5e-05,5e-05,224,195.2528,158.76976116491642,133.76976,0.1348,326.4608,41.665203,107.82996,11651.885714285714,1.9999,0.0,0.0,8,11.6483,0.0,5e-05,0.0,0.99915,44.785714285714285,41.85714285714285,47.57142857142857,5e-05,5e-05,5e-05,0.0,3.85655,3875.7703,0.0,0.0,0.0,0.0,60.72325,59.72325,0.0,31.9978,0.0,1732.2467,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80.249.99.148-10.42.0.64-80-40412-6,80.249.99.148,83.276505,10.42.0.64,40408.953,6.00085,07/04/2025 11:30:42 AM,14312.521,4.79705,0.0,12254.689,0.0,2695.5957,1347.8652,1853.3628,697.56354,0.0,0.0,0.0,0.0,1.7165268e+06,1032.7515,7020.2007,0.0,13517.939,5985.2485,7891.0,1127.2857142857144,2827.5546982204555,7537.0,2.0,0.0,0.0,0.0,0.0,-3816.7031,0.99995,5e-05,5e-05,5e-05,256,0.0,962.4639076034648,95.30798,0.1348,2695.461,1617.4652,852.43616,726841.5999999999,0.0,0.0,0.9999,6,5.6483,0.0,5e-05,0.0,0.0,1797.3333333333333,1853.5,0.0,5e-05,5e-05,5e-05,12404.98,3.85655,1.8687328e+06,0.0,0.0,0.0,0.0,505.72327,0.0,3.79705,31.9978,0.0,1732.2467,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-151.101.129.140-42202-443-6,10.42.0.64,42205.277,151.101.129.140,439.9534,6.00085,07/04/2025 11:30:46 AM,6031.5215,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2296.2112,64466.11,6012.2007,0.0,6011.94,6014.2495,31.0,31.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,-3816.7031,0.0,5e-05,0.0,5e-05,40,0.0,64516.12903225806,0.0,0.1348,0.0,0.0,0.0,0.0,0.0,0.0,1.9999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9978,5598.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-151.101.3.5-55258-443-6,10.42.0.64,55261.277,151.101.3.5,439.9534,6.00085,07/04/2025 12:24:35 PM,642695.5,10.7970495,11.808499,0.0,2594.7559,63.595596,0.0,21.934294,24.9533,2695.461,0.0,273.16486,708.9782,-2296.2112,-4.472663,28720.309,76417.65,291719.94,5984.249,604613.0,46508.6923076923,103179.47111254303,286316.0,17.0,362247.03,22487.295,73986.98,280934.47,3817.7024,0.0,5e-05,5e-05,5e-05,456,459.2528,21.988550247763843,0.0,0.1348,2695.461,146.83186,509.34464,259548.03333333347,1.9999,2.0004,0.0,13,25.6483,0.0,5e-05,0.0,0.99915,152.0344827586207,22.071428571428573,273.3333333333333,5e-05,5e-05,0.0,1985.9805,8.856549,43859.766,0.0,0.0,0.0,0.0,65276.723,281.72327,3.79705,31.9978,5598.826,1732.2467,0.0,0.0,0.0,3794.677,0.0,0.0,BENIGN
80.249.99.148-10.42.0.64-80-34262-6,80.249.99.148,83.276505,10.42.0.64,34258.953,6.00085,07/04/2025 12:21:50 PM,6700.522,1.0,0.0,122.69036,0.0,1347.5957,1347.8652,1347.8628,0.0,0.0,0.0,0.0,0.0,3.7840285e+06,4235.694,6331.2017,0.0,6677.94,5986.2485,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,5833.5396,-3816.7031,0.0,5e-05,0.0,5e-05,64,0.0,2857.1428571428573,1403.5714,0.1348,1347.4608,1010.8652,673.8861,454276.0,0.0,0.0,0.9999,0,0.0,5e-05,5e-05,0.0,0.0,1348.0,1348.0,0.0,5e-05,5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.72327,0.0,0.0,31.9978,0.0,1732.2467,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-47772-80-6,10.42.0.64,47775.277,80.249.99.148,76.9534,6.00085,07/04/2025 11:15:43 AM,2.9916952e+07,2456.7969,5367.8086,0.0,1.021903e+07,99.595604,0.0,0.0,1.9234946,4043.4607,0.0,1902.7428,670.4527,274302.0,211.79013,9801.245,11718.667,822396.94,5984.249,29910952.0,12163.86823912161,30697.275181296936,843608.0,14.0,2.9840086e+07,1741.8694,17888.742,810582.5,3817.7024,0.0,5e-05,5e-05,5e-05,90212,171851.25,82.24412248730832,154.56635,0.1348,4043.4607,1304.8494,1043.2957,1088703.5073473146,0.9999,1.9996,0.9999,3550,7826.649,0.0,5e-05,0.0,1.99915,1305.1508108798366,0.040650406504065,1902.911189722584,5e-05,5e-05,0.0,1.0218213e+07,5364.8564,332088.78,0.0,0.0,0.0,0.0,65276.723,505.72327,0.0,19.9978,5598.826,1732.2467,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-151.101.129.111-43140-443-6,10.42.0.64,43143.277,151.101.129.111,439.9534,6.00085,07/04/2025 12:45:34 PM,156502.52,1.79705,12.808499,0.0,3604.7556,516.5956,0.0,135.06287,214.67857,1347.4608,0.0,319.20648,561.7947,-2296.2112,89.5127,13506.301,18128.672,44392.938,5986.2485,87368.0,21842.0,25367.29933070001,48613.0,55.0,70126.01,1259.0057,10202.14,30274.46,3819.703,0.0,5e-05,0.0,5e-05,168,483.2528,33.222149871762504,81.310875,0.1348,1347.4608,262.8652,493.76257,243914.0000000001,0.9999,1.0004,0.0,9,17.6483,0.0,0.0,0.0,2.9991503,275.5238095238095,135.2,319.375,5e-05,5e-05,0.0,3362.9805,6.85655,41269.77,0.0,0.0,0.0,0.0,65276.723,281.72327,0.79705006,31.9978,5598.826,1732.2467,0.0,0.0,0.0,3794.677,0.0,0.0,BENIGN
10.42.0.64-162.159.152.4-49342-443-6,10.42.0.64,49345.277,162.159.152.4,439.9534,6.00085,07/04/2025 12:40:04 PM,202044.53,11.7970495,7.8085,0.0,2454.7556,516.5956,0.0,56.12953,130.10576,1481.4608,0.0,359.8315,552.6049,-2296.2112,82.602974,13822.96,19692.443,56066.938,5986.2485,159855.0,11418.214285714286,18693.588132251167,51097.0,27.0,139958.02,10779.739,18200.102,41084.46,3819.703,0.0,5e-05,0.0,5e-05,488,331.25284,76.51343575931934,31.109856,0.1348,1481.4608,177.79114,387.7085,150406.22507122508,1.9999,2.0004,0.0,13,22.648298,0.0,5e-05,0.0,0.0,184.7692307692308,56.266666666666666,360.0,5e-05,5e-05,0.0,2380.9805,9.85655,35634.77,0.0,0.0,0.0,0.0,65276.723,5.72325,4.79705,31.9978,5598.826,1732.2467,0.0,0.0,0.0,3794.677,0.0,0.0,BENIGN
80.249.99.148-10.42.0.64-80-58670-6,80.249.99.148,83.276505,10.42.0.64,58666.953,6.00085,07/04/2025 12:01:34 PM,6877.5215,1.0,0.0,122.69036,0.0,1347.5957,1347.8652,1347.8628,0.0,0.0,0.0,0.0,0.0,3.0067165e+06,3370.7322,6419.7017,0.0,6848.94,5992.249,9.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,-3816.7031,0.99995,5e-05,0.0,5e-05,64,0.0,2280.501710376283,1115.2509,0.1348,1347.4608,1010.8652,673.8861,454276.0,0.0,0.0,0.9999,1,0.0,5e-05,5e-05,0.0,0.0,1348.0,1348.0,0.0,5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.72327,0.0,0.0,31.9978,5598.826,1732.2467,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-60778-80-6,10.42.0.64,60781.277,80.249.99.148,76.9534,6.00085,07/04/2025 11:31:49 AM,11948.523,1.0,0.0,0.0,2538.7556,0.0,0.0,0.0,0.0,2695.461,1347.8652,2021.8315,953.0728,612492.25,622.4746,7963.867,0.0,11110.939,6257.2485,5948.0,5948.0,0.0,5948.0,5948.0,0.0,0.0,0.0,6107.5396,-3542.7026,0.0,5e-05,0.0,5e-05,40,35.252804,336.2474781439139,311.24747,0.1348,2695.461,808.6652,1205.5739,1453683.1999999995,0.0,0.0,1.9999,1,0.0,0.0,0.0,0.0,0.99915,1011.0,0.0,2022.0,5e-05,5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.72327,0.0,19.9978,0.0,1732.2467,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80.249.99.148-10.42.0.64-80-54018-6,80.249.99.148,83.276505,10.42.0.64,54014.953,6.00085,07/04/2025 11:51:13 AM,7127.523,1.79705,0.0,8210.69,0.0,2695.5957,1347.8652,2156.6628,738.2373,0.0,0.0,0.0,0.0,9.501367e+06,5273.848,6206.6016,0.0,6946.94,5985.2485,161.0,40.25,75.83479852064399,154.0,2.0,0.0,0.0,0.0,0.0,-3816.7031,0.99995,5e-05,5e-05,5e-05,160,0.0,4436.557231588287,862.31146,0.1348,2695.461,1925.5795,1060.4867,1124873.904761905,0.0,0.0,0.9999,3,2.6483002,0.0,5e-05,0.0,0.0,2246.6666666666665,2156.8,0.0,5e-05,5e-05,5e-05,8360.98,0.8565503,6.697099e+07,0.0,0.0,0.0,0.0,505.72327,0.0,0.79705006,31.9978,0.0,1732.2467,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-104.18.32.7-39658-443-6,10.42.0.64,39661.277,104.18.32.7,439.9534,6.00085,07/04/2025 12:06:43 PM,171002.53,6.79705,2.8085003,0.0,0.0,516.5956,0.0,84.76286,153.88309,543.46075,0.0,95.66483,219.79874,-2296.2112,46.948166,16981.336,21084.455,50487.938,5986.2485,133464.0,14829.333333333336,19248.884435208187,44507.0,35.0,34985.008,4380.939,16572.979,35132.457,-3813.703,0.0,5e-05,0.0,5e-05,328,163.25279,60.60532599604853,11.363195,0.1348,543.46075,83.6299,170.00974,28942.06617647059,0.9999,1.0004,0.0,10,12.6483,0.0,5e-05,0.0,0.0,89.0,84.9,95.83333333333331,5e-05,5e-05,5e-05,0.0,5.8565507,4958.77,0.0,0.0,0.0,0.0,65276.723,5.72325,4.79705,31.9978,5598.826,1732.2467,0.0,0.0,0.0,3794.677,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-46858-80-6,10.42.0.64,46861.277,80.249.99.148,76.9534,6.00085,07/04/2025 11:17:51 AM,6030.5225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2296.2112,66616.65,6011.201,0.0,6010.94,6013.2495,30.0,30.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,-3816.7031,0.0,5e-05,0.0,5e-05,40,0.0,66666.66666666667,0.0,0.1348,0.0,0.0,0.0,0.0,0.0,0.0,1.9999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9978,5598.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.45.0.57-10.42.0.99-59535-5201-6,10.45.0.57,59538.273,10.42.0.99,5197.9536,6.00085,07/04/2025 12:15:49 PM,5.0049468e+07,23227.797,5749.808,3.1084346e+07,0.0,1339.5957,0.0,1338.0282,43.585754,0.0,0.0,0.0,0.0,553798.25,529.15625,7707.8496,8236.684,1.7113469e+06,5974.2505,50043351.0,2154.255316401191,13982.115080457335,1707180.0,9.0,5.0031344e+07,4883.0605,26228.604,1.6996745e+06,-3804.7031,0.0,5e-05,5e-05,5e-05,743386,149599.25,464.2164473579828,89.96006,0.1348,1339.4608,1072.429,535.0624,286413.6678336529,1.9999,0.0,0.0,121,28981.648,0.0,5e-05,0.0,0.0,1072.6007452387523,1338.165382463088,0.0,0.0,5e-05,0.0,1.5541037e+07,11610.857,633663.8,23227.797,3.1084346e+07,5749.808,0.0,60.72325,3086.7231,23225.797,25.997799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-140.82.121.4-59702-443-6,10.42.0.64,59705.277,140.82.121.4,439.9534,6.00085,07/04/2025 12:14:22 PM,253183.5,7.79705,8.8085,0.0,2358.7559,516.5956,0.0,72.95377,149.29501,1347.4608,0.0,321.8315,526.349,-2296.2112,43.028088,17216.793,26375.205,66643.94,5986.2485,185969.0,18596.9,27313.683755989823,61558.0,16.0,125108.016,8102.8477,21291.178,54169.457,-3813.703,0.0,5e-05,0.0,5e-05,360,355.2528,44.50144225128751,23.547028,0.1348,1347.4608,194.3652,399.1751,159431.73913043478,0.9999,1.0004,0.0,15,19.6483,0.0,0.0,0.0,0.99915,202.95652173913044,73.0909090909091,322.0,5e-05,5e-05,5e-05,2244.9807,11.856549,13971.77,0.0,0.0,0.0,0.0,65276.723,62.72325,3.79705,31.9978,5598.826,1732.2467,0.0,0.0,0.0,3794.677,0.0,0.0,BENIGN
10.45.0.49-140.82.121.3-0-0-0,10.45.0.49,3.2765,140.82.121.3,0.0,0.00084999995,07/04/2025 11:38:39 AM,10853.522,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2296.2112,568.154,8407.7,0.0,10819.94,5997.25,4853.0,2426.5,3411.790219225092,4839.0,14.0,0.0,0.0,0.0,0.0,-3816.7031,0.0,5e-05,0.0,5e-05,0,0.0,618.1743251596951,0.0,0.1348,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0,0.0,0.0,5e-05,0.0,0.00084999995,0.0,0.0,0.0,5e-05,5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5598.826,1732.2467,0.0,0.0,0.0,3794.677,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-57630-80-6,10.42.0.64,57633.277,80.249.99.148,76.9534,6.00085,07/04/2025 11:26:01 AM,6018.5215,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2296.2112,111061.09,5999.2007,0.0,5998.94,6001.2485,18.0,18.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,-3816.7031,0.0,5e-05,5e-05,5e-05,40,0.0,111111.11111111112,0.0,0.1348,0.0,0.0,0.0,0.0,0.0,0.0,1.9999,0,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9978,5598.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-39626-80-6,10.42.0.64,39629.277,80.249.99.148,76.9534,6.00085,07/04/2025 12:21:55 PM,6014.5225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2296.2112,142807.12,5995.201,0.0,5994.9395,5997.25,14.0,14.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,-3816.7031,0.0,5e-05,0.0,5e-05,40,0.0,142857.14285714287,0.0,0.1348,0.0,0.0,0.0,0.0,0.0,0.0,1.9999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9978,5598.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80.249.99.148-10.42.0.64-80-54954-6,80.249.99.148,83.276505,10.42.0.64,54950.953,6.00085,07/04/2025 12:22:54 PM,6667.5225,1.0,0.0,2818.6904,0.0,2695.5957,2695.8652,2695.8628,0.0,0.0,0.0,0.0,0.0,8.016558e+06,4447.731,6314.7007,0.0,6315.94,6315.2495,335.0,335.0,0.0,335.0,335.0,0.0,0.0,0.0,0.0,-3816.7031,0.99995,5e-05,5e-05,5e-05,64,0.0,2998.500749625188,1474.2505,0.1348,2695.461,2021.8652,1347.8861,1817104.0,0.0,0.0,0.9999,2,0.0,0.0,5e-05,0.0,0.0,2696.0,2696.0,0.0,5e-05,5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.72327,0.0,0.0,31.9978,0.0,1732.2467,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-38752-80-6,10.42.0.64,38755.277,80.249.99.148,76.9534,6.00085,07/04/2025 12:55:09 PM,6246.522,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2296.2112,8080.0605,6227.2017,4166.5825,6226.94,6229.251,246.0,246.0,0.0,246.0,246.0,0.0,0.0,0.0,0.0,-3816.7031,0.0,5e-05,5e-05,5e-05,40,0.0,8130.081300813007,0.0,0.1348,0.0,0.0,0.0,0.0,0.0,0.0,1.9999,0,0.0,5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,5e-05,5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9978,5598.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
151.101.0.81-10.45.0.32-443-59010-6,151.101.0.81,446.2765,10.45.0.32,59006.953,6.00085,07/04/2025 11:54:57 AM,1.1385295e+06,289.79706,138.8085,375297.7,0.0,1339.5957,0.0,1289.525,245.00493,508.4608,0.0,5.1976967,43.283863,266925.1,334.07578,8590.715,12736.256,144818.94,5992.249,1131993.0,3876.688356164384,11016.72955235319,143508.0,12.0,1.125889e+06,4211.5205,13132.862,133900.45,3825.7024,0.0,5e-05,0.0,5e-05,9334,3721.2527,258.71302191820257,100.383095,0.1348,1339.4608,868.2895,636.54877,405339.4080512497,0.9999,1.0004,0.0,152,432.6483,0.0,5e-05,0.0,0.0,870.4206896551724,1289.6621160409557,5.366197183098592,5e-05,5e-05,0.0,376209.97,288.85657,325356.75,0.0,0.0,0.0,0.0,65535.0,515.72327,281.79706,25.997799,5598.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-151.101.129.164-34104-443-6,10.42.0.64,34107.277,151.101.129.164,439.9534,6.00085,07/04/2025 12:52:31 PM,979605.5,123.79705,295.8085,0.0,609225.7,516.5956,0.0,6.193575,46.78117,5391.461,0.0,2042.41,912.061,560713.94,387.52878,8272.036,3044.228,86970.94,5985.2485,930259.0,7383.007936507935,12951.919011171143,82905.0,16.0,929983.06,0.0,7716.2524,98064.47,-3814.7026,0.0,5e-05,5e-05,5e-05,4072,9559.253,130.44304415034844,282.10608,0.1348,5391.461,1432.0315,1206.1678,1455115.6459961953,0.9999,1.9996,0.0,220,422.64832,0.0,5e-05,0.0,1.99915,1435.5281690140846,6.330708661417323,2042.5785953177256,5e-05,5e-05,0.0,609112.0,291.85657,646928.8,0.0,0.0,0.0,0.0,65276.723,281.72327,3.79705,31.9978,5598.826,1732.2467,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80.249.99.148-10.42.0.64-80-44758-6,80.249.99.148,83.276505,10.42.0.64,44754.953,6.00085,07/04/2025 12:17:52 PM,6811.522,1.79705,0.0,5514.6904,0.0,2695.5957,1347.8652,1617.4628,602.7512,0.0,0.0,0.0,0.0,9.905473e+06,7348.2534,6143.4014,0.0,6498.94,5986.2485,293.0,73.25,139.16746506757008,282.0,3.0,0.0,0.0,0.0,0.0,-3816.7031,0.99995,5e-05,0.0,5e-05,160,0.0,6165.228113440197,1208.0457,0.1348,2695.461,1347.8652,778.15424,605701.3333333334,0.0,0.0,0.9999,3,2.6483002,0.0,5e-05,0.0,0.0,1572.6666666666667,1617.6,0.0,5e-05,5e-05,0.0,5664.98,0.8565503,2.7593728e+07,0.0,0.0,0.0,0.0,505.72327,0.0,0.79705006,31.9978,0.0,1732.2467,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.45.0.41-151.101.193.164-55250-443-6,10.45.0.41,55253.277,151.101.193.164,439.9534,6.00085,07/04/2025 12:13:27 PM,672690.5,133.79704,385.80853,0.0,502135.75,508.59558,0.0,5.439509,44.092026,1339.4608,0.0,1294.5385,240.07867,689181.0,738.952,7251.0864,985.1602,85751.94,5990.25,631578.0,4643.955882352937,9749.649850402147,80611.0,10.0,629137.0,0.0,4236.8247,75190.47,-3802.7024,0.0,0.0,0.0,5e-05,3616,12365.252,205.4928077517287,558.47955,0.1348,1339.4608,956.99036,603.96265,364908.6002554093,1.9999,2.0004,0.0,170,522.64825,0.0,5e-05,0.0,1.99915,958.944866920152,5.576642335766423,1294.706940874036,5e-05,5e-05,0.0,501981.97,382.85657,789915.8,0.0,0.0,0.0,0.0,65276.723,281.72327,4.79705,25.997799,5598.826,1732.2467,0.0,0.0,0.0,3794.677,0.0,0.0,BENIGN
151.101.195.5-10.42.0.64-443-35842-6,151.101.195.5,446.2765,10.42.0.64,35838.953,6.00085,07/04/2025 12:29:20 PM,6614.5215,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2296.2112,3207.3088,6595.2017,4166.5825,6594.94,6597.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3816.7031,0.0,5e-05,0.0,5e-05,32,0.0,1628.6644951140065,1603.6644,0.1348,0.0,0.0,0.0,0.0,0.0,0.0004,0.9999,0,0.0,0.0,5e-05,0.0,0.99915,0.0,0.0,0.0,5e-05,5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.72327,0.0,0.0,31.9978,5598.826,1732.2467,0.0,0.0,0.0,3794.677,0.0,0.0,BENIGN
80.249.99.148-10.42.0.64-80-45806-6,80.249.99.148,83.276505,10.42.0.64,45802.953,6.00085,07/04/2025 11:55:41 AM,19022.52,10.7970495,0.0,23038.691,0.0,2695.5957,1347.8652,1829.2915,670.1937,0.0,0.0,0.0,0.0,1.8994251e+06,1101.8765,6911.344,0.0,18201.94,5984.249,12738.0,979.846153846154,3378.297397757088,12221.0,1.0,0.0,0.0,0.0,0.0,-3816.7031,0.99995,5e-05,5e-05,5e-05,448,0.0,1075.1036707111043,51.793118,0.1348,2695.461,1684.8652,778.15424,605701.3333333334,0.0,0.0,0.9999,10,11.6483,0.0,5e-05,0.0,0.0,1797.3333333333333,1829.428571428572,0.0,5e-05,5e-05,5e-05,23188.979,9.85655,2.0003068e+06,0.0,0.0,0.0,0.0,505.72327,0.0,9.7970495,31.9978,0.0,1732.2467,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.45.0.41-140.82.121.4-0-0-0,10.45.0.41,3.2765,140.82.121.4,0.0,0.00084999995,07/04/2025 12:14:22 PM,11644.522,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2296.2112,481.5176,8803.2,0.0,11600.939,6007.249,5644.0,2822.0,3956.96954751992,5620.0,24.0,0.0,0.0,0.0,0.0,-3816.7031,0.0,5e-05,0.0,5e-05,0,0.0,531.5379163713678,0.0,0.1348,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0,0.0,0.0,5e-05,0.0,0.00084999995,0.0,0.0,0.0,5e-05,5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5598.826,1732.2467,0.0,0.0,0.0,3794.677,0.0,0.0,BENIGN
